Date;PTE;period_from;period_until;Total_min;Minmax;Min600;Min300;Min100;minmin;posmin;pos100;pos300;pos600;posmax;total_plus
01/01/2024;1;00:00;00:15;-1354;-1548.81;-268.8;-207.63;-35.23;-8.81;61.71;82.8;180.46;;1832.2;379
01/01/2024;2;00:15;00:30;-1367;-1548.81;-268.7;-109.04;-26.1;-8.81;61.91;86.89;180.46;;1832.2;379
01/01/2024;3;00:30;00:45;-1368;-1548.81;-268.9;-109.04;-26.1;-8.81;61.91;86.89;180.46;;1832.2;379
01/01/2024;4;00:45;01:00;-1360;-1548.81;-273.9;-109.04;-26.1;-8.81;61.91;86.89;161.61;;1832.2;388
01/01/2024;5;01:00;01:15;-1369;-1548.81;-267.63;-109.04;-26.1;-8.81;61.91;86.89;180.46;;1832.2;381
01/01/2024;6;01:15;01:30;-1369;-1548.81;-267.63;-109.04;-26.1;-8.81;61.91;86.89;180.46;;1832.2;381
01/01/2024;7;01:30;01:45;-1369;-1548.81;-267.63;-109.04;-26.1;-8.81;61.91;86.89;180.46;;1832.2;381
01/01/2024;8;01:45;02:00;-1363;-1548.81;-267.63;-109.04;-26.1;-8.81;58.68;83.66;161.61;;1832.2;388
01/01/2024;9;02:00;02:15;-1230;-1548.81;-274.12;-171.12;-31.85;-8.81;58.54;82.79;149.2;501.35;1832.2;636
01/01/2024;10;02:15;02:30;-1229;-1548.81;-274.12;-109.04;-26.1;-8.81;58.66;83.64;151.06;501.35;1832.2;635
01/01/2024;11;02:30;02:45;-1229;-1548.81;-274.12;-166.18;-37.54;-8.81;81.05;85.3;149.19;501.35;1832.2;630
01/01/2024;12;02:45;03:00;-1243;-1548.81;-267.63;-166.18;-37.54;-8.81;81.06;85.3;121.12;501.35;1832.2;614
01/01/2024;13;03:00;03:15;-1232;-1548.81;-274.12;-183.93;-33.03;-8.81;63.41;83.12;147.19;501.35;1832.2;624
01/01/2024;14;03:15;03:30;-1228;-1548.81;-273;-109.04;-26.1;-8.81;64.9;81.05;304.29;501.35;1832.2;626
01/01/2024;15;03:30;03:45;-1218;-1548.81;-272.3;-109.04;-26.1;-8.81;64.9;85.2;165.82;501.35;1832.2;624
01/01/2024;16;03:45;04:00;-1220;-1548.81;-269.9;-198.57;-34.39;-8.81;64.9;85.2;165.83;501.35;1832.2;620
01/01/2024;17;04:00;04:15;-1221;-1548.81;-270.5;-166.18;-37.54;-8.81;64.9;87.2;304.29;501.35;1832.2;622
01/01/2024;18;04:15;04:30;-1204;-1548.81;-268.3;-224.8;-44.83;-8.81;64.9;87.2;304.29;501.35;1832.2;623
01/01/2024;19;04:30;04:45;-1197;-1548.81;-268;-181.24;-44.83;-8.81;64.9;87.2;149.2;501.35;1832.2;620
01/01/2024;20;04:45;05:00;-1196;-1548.81;-267.5;-224.8;-224.8;-8.81;64.9;85.2;137.84;501.35;1832.2;617
01/01/2024;21;05:00;05:15;-1191;-1548.81;-265.63;-248.48;-248.48;-8.81;64.9;87.2;165.82;501.35;1832.2;611
01/01/2024;22;05:15;05:30;-1141;-1548.81;-267.63;-166.18;-37.54;-8.81;64.58;85.2;153.4;501.35;1832.2;620
01/01/2024;23;05:30;05:45;-1095;-1548.81;-272.12;-233.83;-30.3;-8.81;63.66;85.2;149.19;501.35;1832.2;630
01/01/2024;24;05:45;06:00;-1051;-1548.81;-267.63;-166.18;-37.54;-8.81;58.66;83.64;151.06;501.35;1832.2;629
01/01/2024;25;06:00;06:15;-1007;-1548.81;-265.63;-265.63;-73.38;-8.81;63.25;81.06;121.12;501.35;1832.2;628
01/01/2024;26;06:15;06:30;-1049;-1548.81;-265.63;-265.63;-78.49;-8.81;62.95;79.05;121.12;583.96;1832.2;627
01/01/2024;27;06:30;06:45;-1097;-1548.81;-265.63;-172.24;-91.6;-8.81;63.19;82.79;147.91;501.35;1832.2;627
01/01/2024;28;06:45;07:00;-1163;-1548.81;-267.63;-152.38;-33.34;-8.81;58.66;83.64;151.06;585.96;1832.2;597
