week;Date;PTE;period_from;period_until;upward_incident_reserve;downward_incident_reserve;upward;downward;incentive_component_EURMwh;take_from_system;feed_into_system;Regulation_state;purchase_kWhPTE;sell_kWhPTE;absolute_kWhPTE;imbalance_kWhPTE;downward_reserve_kWh_PTE;downward_power_kWh_PTE;upward_power_kWh_PTE;upward_reserve_kWh_PTE;upward_incident_reserve_kWh_PTE;downward_incident_reserve_kWh_PTE;volume_kWhPTE;totals_kWhPTE
1;01/01/2024;1;00:00;00:15;;;83.22;-46.72;0;83.22;-46.72;2;-80875;60991;141866;-19884;0;-3235;3196;0;0;;6431;-39
1;01/01/2024;2;00:15;00:30;;;76.91;;0;76.91;76.91;1;-85594;70074;155667;-15520;0;0;2927;0;0;;2927;2927
1;01/01/2024;3;00:30;00:45;;;66.91;;0;66.91;66.91;1;-102495;70883;173378;-31612;0;0;1863;0;0;;1863;1863
1;01/01/2024;4;00:45;01:00;;;66.91;;0;66.91;66.91;1;-91748;69172;160921;-22576;0;0;1892;0;0;;1892;1892
1;01/01/2024;5;01:00;01:15;;;81.13;;0;81.13;81.13;1;-119151;87965;207116;-31187;0;0;12778;0;0;;12778;12778
1;01/01/2024;6;01:15;01:30;;;76.91;-17.8;0;76.91;-17.8;2;-91420;77996;169416;-13423;0;-210;7630;0;0;;7840;7420
1;01/01/2024;7;01:30;01:45;;;82.79;-8.81;0;82.79;-8.81;2;-100855;47778;148632;-53077;0;-395;3469;0;0;;3864;3074
1;01/01/2024;8;01:45;02:00;;;73.68;-26.1;0;73.68;-26.1;2;-68209;46421;114630;-21788;0;-1891;6194;0;0;;8085;4303
1;01/01/2024;9;02:00;02:15;;;94.13;-31.85;0;94.13;-31.85;2;-117445;96200;213644;-21245;0;-5079;12310;0;0;;17389;7231
1;01/01/2024;10;02:15;02:30;;;73.66;-8.81;0;73.66;73.66;1;-93436;91914;185350;-1522;0;-4;6334;0;0;;6338;6330
1;01/01/2024;11;02:30;02:45;;;;-8.81;0;-8.81;-8.81;-1;-81257;72043;153300;-9213;0;-319;0;0;0;;319;-319
1;01/01/2024;12;02:45;03:00;;;87.47;-28.42;0;87.47;-28.42;2;-97908;73797;171705;-24112;0;-350;9805;0;0;;10155;9455
1;01/01/2024;13;03:00;03:15;;;78.11;;0;78.11;78.11;1;-102190;91976;194166;-10214;0;0;2214;0;0;;2214;2214
1;01/01/2024;14;03:15;03:30;;;64.9;;0;64.9;64.9;1;-96973;100453;197426;3481;0;0;192;0;0;;192;192
1;01/01/2024;15;03:30;03:45;;;;-17.8;0;-17.8;-17.8;-1;-85167;82517;167683;-2650;0;-1109;0;0;0;;1109;-1109
1;01/01/2024;16;03:45;04:00;;;85.2;-45.33;0;85.2;-45.33;2;-66756;82513;149270;15757;0;-5928;562;0;0;;6490;-5366
1;01/01/2024;17;04:00;04:15;;;104.51;-37.54;0;104.51;-37.54;2;-95456;78968;174423;-16488;0;-5987;2986;0;0;;8973;-3001
1;01/01/2024;18;04:15;04:30;;;;;0;28.05;28.05;0;-89271;99720;188991;10449;0;0;0;0;0;;0;0
1;01/01/2024;19;04:30;04:45;;;79.05;-8.81;0;79.05;-8.81;2;-91002;87316;178318;-3687;0;-202;947;0;0;;1149;745
1;01/01/2024;20;04:45;05:00;;;79.05;-8.81;0;-8.81;-8.81;-1;-95016;93544;188560;-1472;0;-394;3;0;0;;397;-391
1;01/01/2024;21;05:00;05:15;;;;;0;28.05;28.05;0;-87577;98306;185883;10729;0;-7;0;0;0;;7;-7
1;01/01/2024;22;05:15;05:30;;;;-27.32;0;-27.32;-27.32;-1;-102621;88863;191484;-13758;0;-1435;0;0;0;;1435;-1435
1;01/01/2024;23;05:30;05:45;;;;-30.3;0;-30.3;-30.3;-1;-116648;110429;227077;-6219;0;-909;0;0;0;;909;-909
